"Genus","Time","Location","Zone","Current_Country","Habitat","Cranial_Capacity","Height","Incisor_Size","Jaw_Shape","Torus_Supraorbital","Prognathism","Foramen_Mágnum_Position","Canine.Size","Canines_Shape","Tooth_Enamel","Tecno","Tecno_type","biped","Arms","Foots","Diet","Sexual_Dimorphism","Hip","Vertical_Front","Anatomy","Migrated","Skeleton"
"Homo Neanderthalensis
",0.86,"Europa","central","Germany","cold forest",1013.16,151.71,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"hominino Orrorin tugenencin",6.2,"Africa","oriental","Kenya","forest",152.13,122.72,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Heidelbergensis",0.89,"Europa","central","Germany","cold forest",1394.37,172.21,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Sapiens",0.34,"Africa","oriental","Kenya","savannah",1293.05,176.3,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Homo Sapiens",0.5,"Africa","oriental","Kenya","savannah",1151.53,177.66,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Australopithecus Garhi",2.85,"Africa","oriental","Ethiopia","mixed",366.51,112.99,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Floresiensis",0.82,"Asia ","oriental","Indonesia","peninsular",249.41,94.91,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"hominino Orrorin tugenencin",6.37,"Africa","oriental","Kenya","forest",85.81,127.53,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Erectus",1.43,"Asia ","west","Indonesia","savannah",1067.91,155.56,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Erectus",1.52,"Asia ","west","Indonesia","savannah",1035.43,152.69,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Bahrelghazali",3.93,"Africa","central","Republic of Chad","mixed",234.69,122.73,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Homo Rudolfensis",3.16,"Africa","oriental","Kenya","savannah",567.07,131,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Homo Neanderthalensis
",0.33,"Europa","central","Germany","cold forest",1170.55,150.19,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Ergaster",1.4,"Africa","oriental","Kenya","savannah",924.91,166.59,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Erectus",1.15,"Asia ","west","Indonesia","savannah",1023.37,152.88,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Sapiens",0.05,"Africa","oriental","Kenya","savannah",1213.55,160.21,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Homo Georgicus",1.95,"Asia ","west","Georgia","savannah",607.93,140.62,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Anamensis",4.08,"Africa","oriental","Kenya","forest-gallery",300.51,116.82,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"hominino Sahelanthropus tchadensis",6.88,"Africa","central","Republic of Chad","mixed",66.54,97.6,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Habilis",2.66,"Africa","oriental","Ethiopia","savannah",866.49,121.29,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"Australopithecus Bahrelghazali",3.66,"Africa","central","Republic of Chad","mixed",350.72,129.38,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Paranthropus Robustus",2.54,"Africa","south","South Africa","jungle",520.33,111.24,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Paranthropus Robustus",2.18,"Africa","south","South Africa","jungle",579.78,125.29,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Rodhesiensis",0.78,"Africa","oriental","Ethiopia","savannah",950.9,153.04,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Homo Heidelbergensis",1.09,"Europa","central","Germany","cold forest",1328.08,165.22,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Heidelbergensis",0.32,"Europa","central","Germany","cold forest",1432.55,180.94,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Naledi",0.75,"Africa","south","South Africa","jungle",481.86,126.75,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Erectus",1.88,"Asia ","west","Indonesia","savannah",1157.24,157.69,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Floresiensis",0.16,"Asia ","oriental","Indonesia","peninsular",278.04,98.34,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Rodhesiensis",0.96,"Africa","oriental","Ethiopia","savannah",1147.79,145.12,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Australopithecus Garhi",2.74,"Africa","oriental","Ethiopia","mixed",493.81,119.41,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Neanderthalensis
",0.22,"Europa","central","Germany","cold forest",1120.41,152.15,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Australopithecus Afarensis",3.83,"Africa","oriental","Kenya","mixed",255.2,121.68,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Antecesor",1.67,"Europa","west","Spain","savannah",1022.38,175.31,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Homo Ergaster",1.7,"Africa","oriental","Kenya","savannah",780.05,159.67,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Sapiens",0.57,"Africa","oriental","Kenya","savannah",1193.05,161.28,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Australopithecus Sediba",2.53,"Africa","south","South Africa","mixed",490.15,117.93,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"Homo Georgicus",1.81,"Asia ","west","Georgia","savannah",760.61,144.46,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Anamensis",4.08,"Africa","oriental","Kenya","forest-gallery",499.7,129.39,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"hominino Ardipithecus ramidus / kabadda",4.22,"Africa","oriental","Ethiopia","mixed",233.3,105,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Homo Floresiensis",0.5,"Asia ","oriental","Indonesia","peninsular",348.85,96.89,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Paranthropus Robustus",1.98,"Africa","south","South Africa","jungle",533.85,112.7,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Bahrelghazali",4.17,"Africa","central","Republic of Chad","mixed",363.7,114.25,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Australopithecus Garhi",2.92,"Africa","oriental","Ethiopia","mixed",453.33,124.6,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
